Time,PV_Power,T_air,G_h,G_tilt,W_s,W_d
2017-01-01 00:00:00,1.055644012254239,0.7918333333333333,0.0,0.0,0.29133333333333333,286.755
2017-01-01 01:00:00,0.4507597711637664,0.3668333333333333,0.0,0.0,0.35133333333333333,162.585
2017-01-01 02:00:00,0.9200273741263771,0.15816666666666668,0.0,0.0,0.18783333333333332,272.215
2017-01-01 03:00:00,0.8261597746032909,-0.029166666666666667,0.0,0.0,0.2625,255.94666666666666
2017-01-01 04:00:00,1.0312694878637876,-0.21,0.0,0.0,0.23883333333333334,306.08
2017-01-01 05:00:00,1.0015603157139648,-0.392,0.0,0.0,0.2785,303.9633333333333
2017-01-01 06:00:00,0.7903035240223653,-0.8588333333333333,0.0,0.0,0.3481666666666667,268.465
2017-01-01 07:00:00,0.8261714092714709,-0.4791666666666667,0.1,0.13333333333333333,0.13033333333333333,260.4816666666667
2017-01-01 08:00:00,20.945109599502498,-0.9894999999999999,34.9,86.06666666666666,0.37216666666666665,285.135
2017-01-01 09:00:00,76.98355517625464,-0.1371666666666667,148.45,328.05,0.44283333333333336,278.85499999999996
2017-01-01 10:00:00,123.23886666938978,1.2898333333333334,267.5,531.3833333333333,1.2466666666666666,249.785
2017-01-01 11:00:00,151.76163453534545,3.4183333333333334,345.98333333333335,656.75,1.1106666666666667,240.33333333333334
2017-01-01 12:00:00,157.05206541794112,4.664333333333333,366.21666666666664,680.4,1.4056666666666666,238.72166666666666
2017-01-01 13:00:00,146.7747888079714,6.8580000000000005,336.1166666666667,633.7666666666667,1.1921666666666666,235.62833333333336
2017-01-01 14:00:00,117.48021390184806,7.9078333333333335,252.98333333333332,503.25,1.2513333333333334,243.00333333333336
2017-01-01 15:00:00,70.29017426238397,8.054499999999999,133.35,295.6666666666667,1.1636666666666668,254.66
2017-01-01 16:00:00,17.606034492334683,7.101166666666667,27.116666666666667,68.35,0.7808333333333334,258.22
2017-01-01 17:00:00,1.510208583723199,5.720833333333333,0.08333333333333333,0.08333333333333333,0.5366666666666667,262.225
2017-01-01 18:00:00,1.253432904884074,4.437166666666667,0.0,0.0,0.8381666666666666,240.73666666666668
2017-01-01 19:00:00,1.1657439658023256,3.252333333333333,0.0,0.0,0.7155,250.485
2017-01-01 20:00:00,1.0690014929122598,2.773,0.0,0.0,0.3453333333333333,240.78
2017-01-01 21:00:00,1.075782701895829,2.628,0.0,0.0,0.38166666666666665,245.87333333333333
2017-01-01 22:00:00,1.126452770794025,2.0909999999999997,0.0,0.0,0.40700000000000003,270.42333333333335
2017-01-01 23:00:00,1.179410160188058,2.061,0.0,0.0,0.20666666666666667,282.95
2017-01-02 00:00:00,0.8860934086034191,1.5263333333333333,0.0,0.0,0.8916666666666667,230.87333333333333
2017-01-02 01:00:00,0.9026134142608542,1.9303333333333332,0.0,0.0,0.5861666666666667,224.56166666666667
2017-01-02 02:00:00,0.9268276531684898,1.6155000000000002,0.0,0.0,0.45716666666666667,237.72833333333335
2017-01-02 03:00:00,1.0691522743107582,1.6201666666666665,0.0,0.0,0.31,269.2966666666667
2017-01-02 04:00:00,1.0146299921418849,1.431,0.0,0.0,0.3768333333333333,261.8333333333333
2017-01-02 05:00:00,0.7856332504269021,0.9450000000000001,0.016666666666666666,0.016666666666666666,0.6706666666666667,222.07333333333332
2017-01-02 06:00:00,0.7844059129264658,0.6401666666666668,0.0,0.0,0.35083333333333333,230.11499999999998
2017-01-02 07:00:00,0.9167444439767376,0.8845,0.2,0.16666666666666666,0.6,245.88833333333332
2017-01-02 08:00:00,3.718591601495101,1.1118333333333332,12.283333333333333,12.8,0.7783333333333334,260.1333333333333
2017-01-02 09:00:00,10.085483779161414,1.6543333333333334,46.03333333333333,42.916666666666664,0.7103333333333333,261.97166666666664
2017-01-02 10:00:00,14.63416114877566,2.4076666666666666,69.26666666666667,64.43333333333334,0.8575,247.56666666666666
2017-01-02 11:00:00,21.79913384743017,3.152833333333333,104.01666666666667,98.08333333333333,0.9188333333333334,235.14
2017-01-02 12:00:00,30.339229445482335,4.0415,132.96666666666667,136.0,0.8295,246.47333333333333
2017-01-02 13:00:00,65.28158313899098,4.863833333333333,209.65,287.48333333333335,1.2523333333333333,247.10333333333335
2017-01-02 14:00:00,56.68217699498601,5.617999999999999,180.41666666666666,248.28333333333333,1.6733333333333333,250.48833333333332
2017-01-02 15:00:00,34.69517338601082,6.363833333333333,96.81666666666666,147.4,1.0574999999999999,257.3516666666667
2017-01-02 16:00:00,4.1844856486576765,5.9145,11.066666666666666,12.35,0.577,260.74666666666667
2017-01-02 17:00:00,1.4232785335890785,5.6135,0.0,0.0,0.24433333333333335,249.47166666666666
2017-01-02 18:00:00,1.2755934710723689,5.532,0.0,0.0,0.32866666666666666,218.60666666666665
2017-01-02 19:00:00,1.3867330128221425,5.229,0.016666666666666666,0.0,0.8394999999999999,250.97666666666666
2017-01-02 20:00:00,1.3958846296764198,4.8115,0.0,0.0,0.8364999999999999,263.2033333333333
2017-01-02 21:00:00,1.2295950976776482,4.2525,0.0,0.0,0.42716666666666664,239.98166666666665
2017-01-02 22:00:00,0.8565684382385998,3.7126666666666663,0.0,0.0,0.15583333333333332,170.26166666666668
2017-01-02 23:00:00,1.162580497636343,3.4328333333333334,0.0,0.0,0.3506666666666666,245.31166666666667
2017-01-03 00:00:00,0.4645025460191702,2.359166666666667,0.0,0.0,0.47583333333333333,116.42166666666667
2017-01-03 01:00:00,0.3350958788826297,2.6491666666666664,0.0,0.0,0.866,80.455
